T,S,Objective_Value,num_vehicales,Solve_Time,MIP_Gap,Iterations,n,Number_End_Locations
300.0,1.0,20756.38145255249,10.0,0.17580294609069824,0.0,3.0,4.0,8.0
300.0,3.0,26305.71652789034,10.0,0.17380499839782715,0.0,3.0,4.0,7.0
300.0,5.0,26401.363101203406,10.0,0.18019771575927734,0.0,3.0,4.0,9.0
300.0,10.0,30838.535560037686,10.0,0.23907899856567383,0.0,3.0,4.0,13.0
300.0,1.0,47640.684884522256,21.0,0.2608335018157959,0.0,4.0,9.0,14.0
300.0,3.0,47160.784780233094,21.0,0.23296356201171875,0.0,3.0,9.0,18.0
300.0,5.0,47727.58705152292,21.0,0.24283909797668457,0.0,3.0,9.0,17.0
300.0,10.0,48583.1035031456,21.0,0.3043632507324219,0.0,3.0,9.0,16.0
300.0,1.0,70558.37658187773,43.0,0.28580379486083984,0.0,3.0,17.0,26.0
300.0,3.0,76096.25814644534,43.0,1.844438076019287,0.0,3.0,17.0,29.0
300.0,5.0,78754.15242287645,43.0,5.249057769775391,0.0,3.0,17.0,28.0
300.0,10.0,84139.7121951307,43.0,307.0215620994568,0.0,3.0,17.0,30.0
300.0,1.0,106631.69820865546,53.0,0.38802552223205566,0.0,3.0,21.0,32.0
300.0,3.0,105571.86638475445,53.0,1.1043171882629395,0.0,3.0,21.0,32.0
300.0,5.0,101259.45280693873,53.0,1.4535274505615234,9.903968664227835e-05,3.0,21.0,33.0
300.0,10.0,106685.95957426018,53.0,11.474839210510254,2.7650474810921318e-05,3.0,21.0,37.0
300.0,1.0,163323.70609223872,107.0,2.3477609157562256,8.05800247911757e-05,3.0,43.0,54.0
300.0,3.0,178427.87988103981,107.0,53.66513657569885,9.727874633311103e-05,3.0,43.0,58.0
300.0,5.0,176449.15930732334,107.0,411.8311507701874,9.994069752006143e-05,3.0,43.0,57.0
300.0,10.0,167360.9982151907,107.0,429.22174620628357,9.710298230433222e-05,4.0,43.0,57.0
300.0,1.0,248876.13229734567,161.0,8.578705310821533,0.0,3.0,64.0,76.0
300.0,3.0,248780.31630670096,161.0,381.6237280368805,9.931067612227027e-05,3.0,64.0,79.0
300.0,5.0,241302.47918765928,161.0,434.5616681575775,9.964505288120594e-05,3.0,64.0,76.0
300.0,10.0,236823.06035222986,161.0,1375.0085554122925,9.814932839745327e-05,3.0,64.0,81.0
300.0,1.0,409354.9088106927,269.0,1226.2049896717072,9.991219349600207e-05,4.0,106.0,128.0
300.0,3.0,372230.35841539374,269.0,972.3975415229797,0.00015862750400122397,4.0,106.0,128.0
300.0,5.0,373182.8651527437,269.0,1419.6987512111664,9.99596040555196e-05,4.0,106.0,131.0
300.0,10.0,389964.5617523996,269.0,8082.123489379883,0.004168044431728867,4.0,106.0,132.0
