T,S,num_vehicales,Objective_Value,Solve_Time,MIP_Gap,solstatus,solvestatus,lower_bound
300.0,1.0,10.0,16368.84009984804,0.3330528736114502,9.999999999450497e-05,1.0,3.0,16368.82373100794
300.0,3.0,10.0,21385.518118837834,0.6977894306182861,9.999999999286997e-05,1.0,3.0,21385.496733319716
300.0,5.0,10.0,21391.13651282037,0.9171473979949951,0.00010000000000344496,1.0,3.0,21391.115121683855
300.0,10.0,10.0,20829.887538098395,5.826096773147583,9.99999999938628e-05,1.0,3.0,20829.86670821086
300.0,1.0,21.0,44165.667395026176,716.052529335022,9.999999999728455e-05,1.0,3.0,44165.62322935878
300.0,3.0,21.0,40672.592714655555,1185.5768866539001,0.00010000000000545347,1.0,3.0,40672.55204206284
300.0,5.0,21.0,41217.37995343155,3602.273321390152,3.3536025208978977,2.0,1.0,39835.1128602652
300.0,10.0,21.0,42659.55579080504,3603.7125899791718,16.222625929731258,2.0,1.0,35739.05563157773
300.0,1.0,43.0,67653.02023547216,3607.475357055664,16.749858792987858,2.0,1.0,56321.234876839066
300.0,3.0,43.0,69083.64868632457,3604.0898311138153,19.399032355240152,2.0,1.0,55682.08932548403
300.0,5.0,43.0,68253.80327464626,3603.1129631996155,20.35476786111267,2.0,1.0,54360.900061711494
300.0,10.0,43.0,74240.34099892763,3602.75510263443,26.387876292998534,2.0,1.0,54649.89165663033
300.0,1.0,53.0,94195.20765731137,3603.2201833724976,16.805318924076516,2.0,1.0,78365.40259930406
300.0,3.0,53.0,95169.6215836024,3603.000388145447,18.518196672594335,2.0,1.0,77545.92388618713
300.0,5.0,53.0,92519.46382259099,3602.1311836242676,20.330454402448556,2.0,1.0,73709.83641674924
300.0,10.0,53.0,1e+40,3604.6106770038605,100.0,0.0,1.0,74233.72416063824
300.0,1.0,107.0,162556.00270412065,3602.022091150284,17.232182357331812,2.0,1.0,134544.05588535735
300.0,3.0,107.0,211544.792855005,3603.3909072875977,32.22486822741219,2.0,1.0,143374.76211552758
300.0,5.0,107.0,1e+40,3602.64559173584,100.0,0.0,1.0,141861.49888511034
300.0,10.0,107.0,1e+40,3603.3613801002502,100.0,0.0,1.0,134589.43292149247
300.0,1.0,161.0,251771.1382663526,3603.4493174552917,15.555655893780006,2.0,1.0,212606.4863577857
300.0,3.0,161.0,1e+40,3604.5972084999084,100.0,0.0,1.0,213986.067782892
300.0,5.0,161.0,1e+40,3604.9487357139587,100.0,0.0,1.0,207908.96888998096
300.0,10.0,161.0,1e+40,3606.1369366645813,100.0,0.0,1.0,203427.01940254594
300.0,1.0,269.0,425189.4622216249,3607.097535133362,13.43054585157925,2.0,1.0,368084.19654186635
300.0,3.0,269.0,1e+40,3607.3669352531433,100.0,0.0,1.0,333471.4594761782
300.0,5.0,269.0,1e+40,3610.711611509323,100.0,0.0,1.0,335674.74667185266
300.0,10.0,269.0,1e+40,8099.56357216835,100.0,0.0,1.0,351664.87402640836
