x,y
36.73,38.35
23.09,10.35
19.99,66.95
24.95,48.18
10.88,60.19
18.02,35.91
46.66,52.47
36.74,42.75
12.95,59.56
21.2,58.95
40.97,45.14
16.44,23.61
26.98,20.76
28.71,42.64
30.46,53.04
24.2,41.64
34.89,43.31
30.47,33.45
11.87,28.26
36.56,38.39
33.15,36.35
21.5,45.2
6.61,40.93
30.81,23.87
31.42,14.98
33.5,42.54
21.66,46.77
26.54,70.2
21.92,56.82
28.81,60.09
34.88,37.78
22.27,35.44
11.56,37.47
2.9,59.47
29.36,64.11
17.36,58.33
20.48,36.16
43.01,48.92
29.51,42.4
23.89,65.33
43.07,61.84
26.62,53.12
12.59,31.43
26.71,54.89
14.01,51.86
14.29,61.04
28.37,40.75
17.54,29.27
16.9,47.92
36.54,31.42
15.64,55.04
36.07,59.67
13.52,31.32
32.5,46.68
19.06,45.84
15.86,30.34
39.45,82.35
30.98,47.08
19.09,62
10.68,52.49
21.82,44.37
45.13,51.47
24.64,53.06
27.78,13.7
34.2,68.54
25.44,42.84
28.52,52.15
31.2,41.27
21.82,54.1
1.49,37.02
24.68,53.75
6.48,41.07
28.7,45.69
14.43,42.76
38.44,88.72
17.96,50.53
27.24,54.37
30.2,60.6
31.16,47.44
52.68,23.33
38.88,29.47
33.25,64.58
42.91,21.05
18.2,50.26
20.22,58.29
23.35,46.22
22.57,68.9
33.61,24.56
4.93,39.61
37.56,52.89
21.63,39.03
24.92,37.73
16.34,63.31
16.28,64.33
34.38,39.55
21.2,41.99
13.77,21.81
16.69,36.68
30.48,31.74
11.34,39.31
27.73,68.14
29.96,42.96
20.82,16.31
31.94,39.82
18.01,31.54
38.57,39.54
24.06,57.9
38.24,55.22
21.93,47.62
29.6,39.24
43.38,37.49
10.11,48.6
37.26,43.75
12.79,45.7
5.39,19.55
35.44,55.87
23.05,31.58
20.65,39.37
26.43,55.03
46.17,40.54
31.84,43.23
12.23,50.41
11.88,46.21
14.17,23.99
40.49,64.49
16.83,34.37
19.73,35.9
26.72,5.68
26.7,44.47
31.97,56
23.03,61.11
24.75,40.8
23.5,29.95
13.76,27.13
7.44,26.5
44.97,72.67
27.13,50.94
22.66,64.2
45.14,66.55
27.51,50.19
33.44,52.11
27.81,51.13
41.23,45.43
29.15,42.52
27.18,64.39
30.48,62.22
36.17,27.43
15.54,60.2
26.99,55.97
20.19,33.66
47.79,42.36
35.08,76.66
14.45,49.05
41.9,28.81
15.84,23.12
34.41,69.42
18.73,64.44
51.1,50.62
28.75,54.67
33.79,37.49
